Chave,Tipo de item,Resumo,Projeto,Unidade de Negócio,Status,Prioridade,Criado,Resolvido_Piloto,Atualizado(a),SLA_Horas_Resolucao,HorasResolucao_Calculated,CumpriuSLA_Resolucao_Calculated,SLA_Violado_Calculated,SLA_Horas_Primeira_Resposta,HorasPrimeiraResposta_Original,CumpriuSLA_PrimeiraResposta_Calculated,Is_Open,Aging_Horas,Em_Risco,Status_Categoria,LeadTime_Horas,Mes_Criacao,Ano_Criacao,Tempo até a primeira resposta,Tempo de resolução,SLA,Primeira Resposta
CN-110,Bug Legado,Verificação de erro no acesso ao site SGPM,Continental - Suporte,Tribo 1,Encerrado,Lowest,2025-01-03 12:17:00,2025-01-31 15:53:00,2025-02-02 20:52:00,40.0,675.6,Não,Sim,20.0,23.983333333333334,Não,False,,Não,Fechado,675.6,2025-01-31 00:00:00,2025,23:59:00,"-3 days, 18:00:00",Violado,Atingido
CN-112,Dúvida ,Verificação de uso de contas.,Continental - Suporte,Tribo 1,Finalizado,Lowest,2025-01-14 07:23:00,2025-02-04 17:27:00,2025-02-04 17:27:00,40.0,514.0666666666667,Não,Sim,20.0,11.083333333333334,Sim,False,,Não,Fechado,514.0666666666667,2025-01-31 00:00:00,2025,11:05:00,11:05:00,Atingido,Atingido
CN-115,Bug,Problema no acesso ao a tela de solicitações de viagens,Continental - Suporte,Tribo 1,Finalizado,Highest,2025-01-15 15:38:00,2025-01-30 17:58:00,2025-02-02 20:51:00,4.0,362.3333333333333,Não,Sim,2.0,2.6333333333333333,Não,False,,Não,Fechado,362.3333333333333,2025-01-31 00:00:00,2025,2:38:00,2:38:00,Atingido,Atingido
CN-116,Bug,Divergência no login do táxi,Continental - Suporte,Tribo 1,Finalizado,High,2025-01-15 15:41:00,2025-01-30 15:22:00,2025-01-31 15:57:00,6.0,359.68333333333334,Não,Sim,3.0,5.983333333333333,Não,False,,Não,Fechado,359.68333333333334,2025-01-31 00:00:00,2025,5:59:00,"-3 days, 7:30:00",Violado,Atingido
CN-119,Bug,Erro no login do sistema,Continental - Suporte,Tribo 1,Finalizado,Lowest,2025-01-23 10:00:00,2025-01-27 19:12:00,2025-01-30 15:05:00,40.0,105.2,Não,Sim,20.0,23.983333333333334,Não,False,,Não,Fechado,105.2,2025-01-31 00:00:00,2025,23:59:00,23:59:00,Atingido,Atingido
CN-121,Bug Legado, O sistema não está roteirizando ,Continental - Suporte,Tribo 1,Finalizado,Lowest,2025-01-28 09:24:00,2025-01-30 15:06:00,2025-01-30 15:06:00,40.0,53.7,Não,Sim,20.0,23.983333333333334,Não,False,,Não,Fechado,53.7,2025-01-31 00:00:00,2025,23:59:00,23:59:00,Atingido,Atingido
CN-122,Dúvida ,Problema no login - usuário Evelyn Aguiar,Continental - Suporte,Tribo 1,Concluído,Lowest,2025-01-28 09:37:00,2025-01-30 15:06:00,2025-01-30 15:06:00,40.0,53.483333333333334,Não,Sim,20.0,23.983333333333334,Não,False,,Não,Fechado,53.483333333333334,2025-01-31 00:00:00,2025,23:59:00,23:59:00,Atingido,Atingido
CN-123,Problema,SP Sales Group - Correção lista de cidades,Continental - Suporte,Tribo 1,Concluído,High,2025-01-29 14:03:00,2025-02-03 14:13:00,2025-02-03 14:13:00,6.0,120.16666666666667,Não,Sim,3.0,-35.46666666666667,Sim,False,,Não,Fechado,120.16666666666667,2025-01-31 00:00:00,2025,"-1 day, 11:28:00","-1 day, 11:28:00",Violado,Violado
CN-125,Incidente,Replicador Ecommerce,Continental - Suporte,Tribo 1,Concluído,Lowest,2025-02-04 10:11:00,2025-02-07 10:36:00,2025-02-27 01:25:00,40.0,72.41666666666667,Não,Sim,20.0,-44.6,Sim,False,,Não,Fechado,72.41666666666667,2025-02-28 00:00:00,2025,"-1 day, 20:36:00","-1 day, 20:36:00",Violado,Violado
CN-126,Incidente,Liberação do menu no ambiente de teste,Continental - Suporte,Tribo 1,Concluído,Lowest,2025-02-13 09:29:00,2025-02-27 23:56:00,2025-02-27 23:56:00,40.0,350.45,Não,Sim,20.0,24.0,Não,False,,Não,Fechado,350.45,2025-02-28 00:00:00,2025,"1 day, 0:00:00","1 day, 0:00:00",Atingido,Atingido
CN-127,Incidente,Liberar permissão no usuário ADMIN para solicitar retroativa,Continental - Suporte,Tribo 1,Concluído,Lowest,2025-02-13 09:58:00,2025-02-27 23:57:00,2025-02-27 23:57:00,40.0,349.98333333333335,Não,Sim,20.0,24.0,Não,False,,Não,Fechado,349.98333333333335,2025-02-28 00:00:00,2025,"1 day, 0:00:00","1 day, 0:00:00",Atingido,Atingido
CN-129,Incidente,Acesso SGPM,Continental - Suporte,Tribo 1,Concluído,Medium,2025-02-17 14:52:00,2025-02-26 01:25:00,2025-03-04 20:58:00,16.0,202.55,Não,Sim,8.0,12.0,Não,False,,Não,Fechado,202.55,2025-02-28 00:00:00,2025,12:00:00,12:00:00,Atingido,Atingido
CN-136,Problema,SFTP Notas Fiscais - eCommerce,Continental - Suporte,Tribo 1,Concluído,High,2025-02-20 16:17:00,2025-03-31 10:54:00,2025-04-08 11:08:00,6.0,930.6166666666667,Não,Sim,3.0,5.533333333333333,Não,False,,Não,Fechado,930.6166666666667,2025-02-28 00:00:00,2025,5:32:00,5:32:00,Atingido,Atingido
CN-140,Bug Legado,Erro integração Portal Nofa Facil x SAP,Continental - Suporte,Tribo 1,Finalizado,Medium,2025-03-06 08:21:00,2025-03-31 01:56:00,2025-03-31 11:50:00,16.0,593.5833333333334,Não,Sim,8.0,11.983333333333333,Não,False,,Não,Fechado,593.5833333333334,2025-03-31 00:00:00,2025,11:59:00,"-1 day, 14:49:00",Violado,Atingido
CN-143,Problema,Erro pedidos eCommerce,Continental - Suporte,Tribo 1,Concluído,Highest,2025-03-17 16:07:00,2025-03-30 20:36:00,2025-03-31 11:48:00,4.0,316.48333333333335,Não,Sim,2.0,2.9833333333333334,Não,False,,Não,Fechado,316.48333333333335,2025-03-31 00:00:00,2025,2:59:00,2:59:00,Atingido,Atingido
CN-17,Bug Legado,Falha de cálculos ,Continental - Suporte,Tribo 1,Concluído,Medium,2023-12-11 15:56:00,,2024-03-19 09:18:00,16.0,,Pendente,N/A,8.0,9.75,Não,False,,Não,Fechado,,2023-12-31 00:00:00,2023,9:45:00,9:45:00,Atingido,Atingido
CN-18,Dúvida ,erro na visualização externa antes de roteirizar,Continental - Suporte,Tribo 1,Concluído,Medium,2023-12-27 11:56:00,,2024-03-19 09:18:00,16.0,,Pendente,N/A,8.0,11.983333333333333,Não,False,,Não,Fechado,,2023-12-31 00:00:00,2023,11:59:00,11:59:00,Atingido,Atingido
CN-47,Dúvida ,Microsoft Visual C++ Redistributable - Verificação,Continental - Suporte,Tribo 1,Concluído,Medium,2024-02-28 14:35:00,2024-03-27 12:24:00,2024-07-01 14:54:00,16.0,669.8166666666667,Não,Sim,8.0,-39.483333333333334,Sim,False,,Não,Fechado,669.8166666666667,2024-02-29 00:00:00,2024,"-1 day, 15:29:00","-2 days, 15:00:00",Violado,Violado
CN-48,Dúvida ,Sistema Apontamento de Horas,Continental - Suporte,Tribo 1,Concluído,Medium,2024-03-06 11:03:00,2024-03-08 15:34:00,2024-07-01 14:54:00,16.0,52.516666666666666,Não,Sim,8.0,12.0,Não,False,,Não,Fechado,52.516666666666666,2024-03-31 00:00:00,2024,12:00:00,12:00:00,Atingido,Atingido
CN-49,Dúvida ,Certificado PFX VPAS039 Aplicações Web,Continental - Suporte,Tribo 1,Concluído,Medium,2024-03-13 14:20:00,2024-07-05 16:45:00,2024-07-10 09:16:00,16.0,2738.4166666666665,Não,Sim,8.0,-125.53333333333333,Sim,False,,Não,Fechado,2738.4166666666665,2024-03-31 00:00:00,2024,"-5 days, 5:32:00","-5 days, 5:32:00",Violado,Violado
CN-50,Dúvida ,Certificado PFX Aplicação eCommerce,Continental - Suporte,Tribo 1,Concluído,Medium,2024-03-14 07:39:00,2024-07-23 09:37:00,2024-07-25 18:19:00,16.0,3145.9666666666667,Não,Sim,8.0,-114.16666666666667,Sim,False,,Não,Fechado,3145.9666666666667,2024-03-31 00:00:00,2024,"-4 days, 18:10:00","-4 days, 18:10:00",Violado,Violado
CN-54,Dúvida ,Certificado PFX Aplicações aplic.vdo.com.br,Continental - Suporte,Tribo 1,Concluído,Medium,2024-03-20 08:29:00,2024-08-09 09:37:00,2024-08-09 09:37:00,16.0,3409.133333333333,Não,Sim,8.0,11.983333333333333,Não,False,,Não,Fechado,3409.133333333333,2024-03-31 00:00:00,2024,11:59:00,11:59:00,Atingido,Atingido
CN-57,Incidente,BMC INC000004181426 - Faturado Menu,Continental - Suporte,Tribo 1,Concluído,Medium,2024-03-25 08:51:00,2024-05-22 12:31:00,2024-07-01 14:54:00,16.0,1395.6666666666667,Não,Sim,8.0,2.4,Sim,False,,Não,Fechado,1395.6666666666667,2024-03-31 00:00:00,2024,2:24:00,2:24:00,Atingido,Atingido
CN-58,Incidente,Conti Ticket 5352772 | Purchase order no.,Continental - Suporte,Tribo 1,Concluído,Highest,2024-03-25 15:09:00,2024-04-05 18:32:00,2024-07-01 14:54:00,4.0,267.3833333333333,Não,Sim,2.0,-111.58333333333333,Sim,False,,Não,Fechado,267.3833333333333,2024-03-31 00:00:00,2024,"-4 days, 15:35:00","-4 days, 15:35:00",Violado,Violado
CN-67,Dúvida ,Brazil Pedido não encontrado no SAP,Continental - Suporte,Tribo 1,Concluído,Medium,2024-04-30 16:11:00,2024-06-28 08:20:00,2024-07-01 14:54:00,16.0,1408.15,Não,Sim,8.0,-121.41666666666667,Sim,False,,Não,Fechado,1408.15,2024-04-30 00:00:00,2024,"-5 days, 1:25:00","-8 days, 20:00:00",Violado,Violado
CN-69,Incidente,Código do Cliente inválido,Continental - Suporte,Tribo 1,Concluído,Medium,2024-05-09 16:22:00,2024-05-13 16:55:00,2024-07-01 14:54:00,16.0,96.55,Não,Sim,8.0,11.983333333333333,Não,False,,Não,Fechado,96.55,2024-05-31 00:00:00,2024,11:59:00,11:59:00,Atingido,Atingido
CN-70,Bug,Problema ao importar usuários com centro de custos (investigar),Continental - Suporte,Tribo 1,Concluído,Medium,2024-05-13 09:12:00,2024-05-13 10:49:00,2024-05-13 10:49:00,16.0,1.6166666666666667,Sim,Não,8.0,10.416666666666666,Não,False,,Não,Fechado,1.6166666666666667,2024-05-31 00:00:00,2024,10:25:00,10:25:00,Atingido,Atingido
CN-71,Bug Legado,Erro ao inserir novo cliente - DOGMA,Continental - Suporte,Tribo 1,Concluído,Medium,2024-05-22 15:50:00,2024-06-28 08:45:00,2024-07-01 14:54:00,16.0,880.9166666666666,Não,Sim,8.0,-100.95,Sim,False,,Não,Fechado,880.9166666666666,2024-05-31 00:00:00,2024,"-4 days, 4:57:00","-4 days, 4:57:00",Violado,Violado
CN-72,Problema,Erro ao fazer logon - Nota Fácil,Continental - Suporte,Tribo 1,Concluído,Medium,2024-05-28 15:29:00,2024-05-29 11:13:00,2024-06-07 10:41:00,16.0,19.733333333333334,Não,Sim,8.0,11.95,Não,False,,Não,Fechado,19.733333333333334,2024-05-31 00:00:00,2024,11:57:00,11:57:00,Atingido,Atingido
CN-73,Bug Legado,Problema de solicitação recorrente com data igual,Continental - Suporte,Tribo 1,Concluído,Medium,2024-06-03 11:18:00,2024-06-04 16:00:00,2024-06-24 10:42:00,16.0,28.7,Não,Sim,8.0,11.983333333333333,Não,False,,Não,Fechado,28.7,2024-06-30 00:00:00,2024,11:59:00,11:59:00,Atingido,Atingido
CN-77,Bug Legado,"Ao alterar a taxa de ""Horas à disposição"", ela fica quebrada na edição da viagem",Continental - Suporte,Tribo 1,Concluído,Medium,2024-06-13 09:34:00,2024-06-21 15:25:00,2024-06-24 13:16:00,16.0,197.85,Não,Sim,8.0,-44.6,Sim,False,,Não,Fechado,197.85,2024-06-30 00:00:00,2024,"-1 day, 20:36:00","-1 day, 20:36:00",Violado,Violado
CN-78,Dúvida ,Split de Ordens de Vendas para Região SP,Continental - Suporte,Tribo 1,Concluído,Medium,2024-06-13 14:14:00,2024-08-19 13:23:00,2024-08-19 13:23:00,16.0,1607.15,Não,Sim,8.0,10.933333333333334,Não,False,,Não,Fechado,1607.15,2024-06-30 00:00:00,2024,10:56:00,10:56:00,Atingido,Atingido
CN-80,Incidente,Modificação IP sistema SAP NQ1 - Qualidade,Continental - Suporte,Tribo 1,Concluído,Medium,2024-06-18 15:36:00,2024-06-28 08:17:00,2024-06-28 08:17:00,16.0,232.68333333333334,Não,Sim,8.0,12.0,Não,False,,Não,Fechado,232.68333333333334,2024-06-30 00:00:00,2024,12:00:00,12:00:00,Atingido,Atingido
CN-81,Dúvida ,Ordens duplicadas do mesmo pedido EDI,Continental - Suporte,Tribo 1,Concluído,Medium,2024-07-01 09:51:00,2025-03-24 10:07:00,2025-03-24 10:07:00,16.0,6384.266666666666,Não,Sim,8.0,11.983333333333333,Não,False,,Não,Fechado,6384.266666666666,2024-07-31 00:00:00,2024,11:59:00,"-10 days, 16:02:00",Violado,Atingido
CN-82,Bug,Erro relatório de faturados,Continental - Suporte,Tribo 1,Concluído,Medium,2024-07-16 14:56:00,2024-07-30 09:38:00,2024-07-31 00:55:00,16.0,330.7,Não,Sim,8.0,5.616666666666667,Sim,False,,Não,Fechado,330.7,2024-07-31 00:00:00,2024,5:37:00,5:37:00,Atingido,Atingido
CN-83,Incidente,Erro relatório de carteira Ecommerce - Item A3C1064540002 ,Continental - Suporte,Tribo 1,Concluído,Medium,2024-07-30 12:30:00,2024-10-11 14:14:00,2024-10-11 14:14:00,16.0,1753.7333333333333,Não,Sim,8.0,-266.06666666666666,Sim,False,,Não,Fechado,1753.7333333333333,2024-07-31 00:00:00,2024,"-11 days, 2:04:00","-11 days, 2:04:00",Violado,Violado
CN-84,Incidente,Apenas o usuário Admin pode exportar diferença de custos,Continental - Suporte,Tribo 1,Concluído,Medium,2024-09-02 11:45:00,2024-09-04 08:22:00,2024-09-04 08:22:00,16.0,44.61666666666667,Não,Sim,8.0,-46.733333333333334,Sim,False,,Não,Fechado,44.61666666666667,2024-09-30 00:00:00,2024,"-1 day, 22:44:00","-1 day, 22:44:00",Violado,Violado
CN-86,Bug Legado,Está sendo possível solicitar uma viagem com menos do tempo de antecedência,Continental - Suporte,Tribo 1,Concluído,Medium,2024-09-02 11:58:00,2024-09-03 17:50:00,2024-09-03 17:50:00,16.0,29.866666666666667,Não,Sim,8.0,-45.15,Sim,False,,Não,Fechado,29.866666666666667,2024-09-30 00:00:00,2024,"-1 day, 21:09:00","-1 day, 21:09:00",Violado,Violado
CN-93,Problema,Ecommerce com Instabilidade para retirada de Relatório,Continental - Suporte,Tribo 1,Finalizado,Medium,2024-10-04 14:55:00,2024-10-07 11:14:00,2024-10-07 11:14:00,16.0,68.31666666666666,Não,Sim,8.0,9.75,Não,False,,Não,Fechado,68.31666666666666,2024-10-31 00:00:00,2024,9:45:00,9:45:00,Atingido,Atingido
CN-95,Dúvida ,Roteirização,Continental - Suporte,Tribo 1,Concluído,Medium,2024-10-24 16:39:00,2025-02-27 14:01:00,2025-02-27 14:01:00,16.0,3021.366666666667,Não,Sim,8.0,12.0,Não,False,,Não,Fechado,3021.366666666667,2024-10-31 00:00:00,2024,12:00:00,12:00:00,Atingido,Atingido
CN-97,Problema,Erro de valores/preços no eCommerce,Continental - Suporte,Tribo 1,Concluído,Medium,2024-10-30 11:42:00,2024-11-01 14:05:00,2024-11-01 14:05:00,16.0,50.38333333333333,Não,Sim,8.0,10.683333333333334,Não,False,,Não,Fechado,50.38333333333333,2024-10-31 00:00:00,2024,10:41:00,10:41:00,Atingido,Atingido
CS-118,Bug,Incident: 308760 - PMA - Erro Customer Internal Code uploads,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-08-15 20:53:00,,2024-08-01 11:00:00,16.0,,Pendente,N/A,8.0,-483.93333333333334,Sim,False,,Não,Fechado,,2023-08-31 00:00:00,2023,"-20 days, 3:56:00","-49 days, 21:30:00",Violado,Violado
CS-136,Bug,314521 - Email com ações inseridas no PGA nao chega,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-09-19 15:40:00,,2024-03-06 09:55:00,16.0,,Pendente,N/A,8.0,-43.81666666666667,Sim,False,,Não,Fechado,,2023-09-30 00:00:00,2023,"-1 day, 19:49:00","-2 days, 12:51:00",Violado,Violado
CS-139,Bug,315793 - PMA - Divergencia com isenção de impostos ao copiar cotação,Croda - Suporte - PIP489,Tribo 2,Concluído,Lowest,2023-09-28 17:52:00,,2024-04-15 11:36:00,40.0,,Pendente,N/A,20.0,7.983333333333333,Sim,False,,Não,Fechado,,2023-09-30 00:00:00,2023,7:59:00,"-11 days, 22:46:00",Violado,Atingido
CS-145,Bug,Incident: 320197 - SGCF - Correção fluxo de aprovação em massa,Croda - Suporte - PIP489,Tribo 2,Concluído,Lowest,2023-11-07 14:41:00,,2024-04-11 08:55:00,40.0,,Pendente,N/A,20.0,-58.38333333333333,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,"-2 days, 10:23:00","-8 days, 21:58:00",Violado,Violado
CS-150,Bug,Incident: 321009 - Bug PGA - ausência de notificação de pendências,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-11-14 22:56:00,,2024-01-30 13:26:00,16.0,,Pendente,N/A,8.0,0.4166666666666667,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,0:25:00,"-1 day, 14:04:00",Violado,Atingido
CS-151,Bug,Incident: 321006 - Bug pendencias PGA,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-11-14 23:07:00,,2024-03-07 19:13:00,16.0,,Pendente,N/A,8.0,0.7166666666666667,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,0:43:00,"-2 days, 19:58:00",Violado,Atingido
CS-154,Bug,Incident: 316421 - PMA - Quotation Price Import,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-11-21 16:43:00,,2024-05-28 10:50:00,16.0,,Pendente,N/A,8.0,-400.3833333333333,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,"-16 days, 16:23:00","-16 days, 16:23:00",Violado,Violado
CS-156,Bug,322555 - SGCF - Erros Plataforma  ,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-11-28 13:57:00,,2024-01-24 10:44:00,16.0,,Pendente,N/A,8.0,7.95,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,7:57:00,7:57:00,Atingido,Atingido
CS-158,Bug,313885 - PGD - BUG BR HISTORICO DE REVISAO,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-11-28 14:48:00,,2024-02-07 10:44:00,16.0,,Pendente,N/A,8.0,7.983333333333333,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,7:59:00,"-1 day, 13:22:00",Violado,Atingido
CS-160,Bug,322860 - GestaoSMart - MOdulo SGCF nao carrega corretamente,Croda - Suporte - PIP489,Tribo 2,Concluído,Lowest,2023-11-30 12:14:00,,2024-04-11 08:53:00,40.0,,Pendente,N/A,20.0,5.416666666666667,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,5:25:00,5:25:00,Atingido,Atingido
CS-161,Bug,Erro - SGCF (código já existente),Croda - Suporte - PIP489,Tribo 2,Concluído,Lowest,2023-12-05 13:46:00,,2024-04-11 08:54:00,40.0,,Pendente,N/A,20.0,-26.633333333333333,Sim,False,,Não,Fechado,,2023-12-31 00:00:00,2023,"-1 day, 2:38:00","-1 day, 2:38:00",Violado,Violado
CS-163,Bug,322504 - PGTP - extração dos dados,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-12-11 09:25:00,,2024-04-10 08:54:00,16.0,,Pendente,N/A,8.0,-512.0,Sim,False,,Não,Fechado,,2023-12-31 00:00:00,2023,"-21 days, 8:00:00","-22 days, 9:34:00",Violado,Violado
CS-165,Bug,325523 - PMA - Cotações geradas em massa via upload não estão gerando data de aprovação,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2023-12-19 10:05:00,,2024-07-24 20:01:00,16.0,,Pendente,N/A,8.0,-808.3833333333333,Sim,False,,Não,Fechado,,2023-12-31 00:00:00,2023,"-33 days, 16:23:00","-33 days, 16:23:00",Violado,Violado
CS-167,Bug,326566  - PMA Problema generalizado,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2024-01-03 09:53:00,2024-01-08 23:49:00,2024-03-06 09:55:00,16.0,133.93333333333334,Não,Sim,8.0,8.0,Sim,False,,Não,Fechado,133.93333333333334,2024-01-31 00:00:00,2024,8:00:00,8:00:00,Atingido,Atingido
CS-168,Bug,326900 - Budget - Export Qlik ano ref. 2024 está trazendo o FYF Volume e Revenue errado,Croda - Suporte - PIP489,Tribo 2,Concluído,Lowest,2024-01-05 09:55:00,2024-01-30 15:02:00,2024-04-11 08:54:00,40.0,605.1166666666667,Não,Sim,20.0,-145.96666666666667,Sim,False,,Não,Fechado,605.1166666666667,2024-01-31 00:00:00,2024,"-6 days, 1:58:00","-7 days, 23:38:00",Violado,Violado
CS-169,Bug,PMA - Dados divergentes na cópia de cotação,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2024-01-05 11:30:00,2024-02-15 10:35:00,2024-04-15 11:30:00,16.0,983.0833333333334,Não,Sim,8.0,-26.5,Sim,False,,Não,Fechado,983.0833333333334,2024-01-31 00:00:00,2024,"-1 day, 2:30:00","-3 days, 19:26:00",Violado,Violado
CS-170,Bug,Incident: 327243 - [PGA] - Falha no sistema de registro de auditorias,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2024-01-10 16:20:00,2024-12-09 10:58:00,2024-12-09 10:58:00,16.0,8010.633333333333,Não,Sim,8.0,-879.7833333333333,Sim,False,,Não,Fechado,8010.633333333333,2024-01-31 00:00:00,2024,"-36 days, 15:47:00","-39 days, 21:46:00",Violado,Violado
CS-171,Bug,Incident: 327236 - [PGA] - Falhas no sistema de registro de Auditorias,Croda - Suporte - PIP489,Tribo 2,Concluído,Lowest,2024-01-10 16:28:00,2024-01-31 16:00:00,2024-04-11 08:54:00,40.0,503.53333333333336,Não,Sim,20.0,7.966666666666667,Sim,False,,Não,Fechado,503.53333333333336,2024-01-31 00:00:00,2024,7:58:00,"-4 days, 5:21:00",Violado,Atingido
CS-172,Bug,[PGA] Falha sistema auditoria (encerramento de ocorrência),Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2024-01-15 08:14:00,2024-03-07 19:14:00,2024-03-07 19:14:00,16.0,1259.0,Não,Sim,8.0,-27.4,Sim,False,,Não,Fechado,1259.0,2024-01-31 00:00:00,2024,"-1 day, 3:24:00","-10 days, 6:18:00",Violado,Violado
CS-173,Bug,[SGCF] - Nivelamento de ambientes,Croda - Suporte - PIP489,Tribo 2,Concluído,Medium,2024-01-16 16:24:00,2024-02-02 09:45:00,2024-03-06 10:32:00,16.0,401.35,Não,Sim,8.0,8.0,Sim,False,,Não,Fechado,401.35,2024-01-31 00:00:00,2024,8:00:00,"-1 day, 8:31:00",Violado,Atingido
CS-174,Bug,Incident: 317192 - [PDG] Funcionário que saiu com pendências no PGD (ex CMEL187),Croda - Suporte - PIP489,Tribo 2,Concluído,Lowest,2024-01-17 14:42:00,2024-01-22 21:47:00,2024-04-11 08:54:00,40.0,127.08333333333333,Não,Sim,20.0,-29.55,Sim,False,,Não,Fechado,127.08333333333333,2024-01-31 00:00:00,2024,"-1 day, 5:33:00","-1 day, 5:33:00",Violado,Violado
